"pi","pj","loni","lati","cityi.id","provi.id","lonj","latj","cityj.id","provj.id","flowij","distij","sameprov"
1220637,532791,116.4125741,40.18560892,110000,110000,114.3428638,30.62406168,420100,420000,1551,1079.520827,0
488412,532791,117.3448411,39.2847324,120000,120000,114.3428638,30.62406168,420100,420000,341,1000.95258,0
371707,532791,114.4394937,38.13057855,130100,130000,114.3428638,30.62406168,420100,420000,233,834.7335381,0
1070731,532791,121.4761601,31.21049173,310000,310000,114.3428638,30.62406168,420100,420000,1303,683.4779446,0
382038,532791,118.8428583,31.9274063,320100,320000,114.3428638,30.62406168,420100,420000,476,451.503602,0
290607,532791,120.0764545,31.52620522,320200,320000,114.3428638,30.62406168,420100,420000,237,555.1190788,0
591635,532791,120.6543171,31.38138183,320500,320000,114.3428638,30.62406168,420100,420000,711,607.3208753,0
464459,532791,119.4704365,29.90027109,330100,330000,114.3428638,30.62406168,420100,420000,622,498.9488798,0
312428,532791,121.4793958,29.73007302,330200,330000,114.3428638,30.62406168,420100,420000,311,693.0417701,0
290482,532791,120.464035,27.8960888,330300,330000,114.3428638,30.62406168,420100,420000,463,666.6348527,0
230193,532791,119.9523514,29.11839558,330700,330000,114.3428638,30.62406168,420100,420000,269,566.1182443,0
178578,532791,121.1369469,28.75867132,331000,330000,114.3428638,30.62406168,420100,420000,212,688.133211,0
292575,532791,117.3561231,31.76223154,340100,340000,114.3428638,30.62406168,420100,420000,571,313.2992984,0
270724,532791,119.201928,26.04834574,350100,350000,114.3428638,30.62406168,420100,420000,295,696.2600748,0
214816,532791,118.1194605,24.66220726,350200,350000,114.3428638,30.62406168,420100,420000,250,760.0145864,0
274999,532791,118.2636476,25.19308362,350500,350000,114.3428638,30.62406168,420100,420000,244,716.1732874,0
211711,532791,116.0193797,28.64923649,360100,360000,114.3428638,30.62406168,420100,420000,542,272.8899276,0
99883,532791,115.451554,29.32186288,360400,360000,114.3428638,30.62406168,420100,420000,275,179.9171325,0
584714,532791,113.4669101,34.62706598,410100,410000,114.3428638,30.62406168,420100,420000,726,452.6030326,0
226344,532791,112.0306579,34.29094069,410300,410000,114.3428638,30.62406168,420100,420000,220,461.8196956,0
182371,532791,112.2841506,33.04336517,411300,410000,114.3428638,30.62406168,420100,420000,315,331.9335595,0
152911,532791,115.6975248,34.28924087,411400,410000,114.3428638,30.62406168,420100,420000,201,426.894692,0
108773,532791,114.8839053,32.08124235,411500,410000,114.3428638,30.62406168,420100,420000,500,169.9803121,0
132165,532791,114.8775911,33.72182922,411600,410000,114.3428638,30.62406168,420100,420000,222,348.1114549,0
113197,532791,114.1505548,32.92331063,411700,410000,114.3428638,30.62406168,420100,420000,293,256.3101312,0
532791,1220637,114.3428638,30.62406168,420100,420000,116.4125741,40.18560892,110000,110000,2023,1079.520827,0
532791,488412,114.3428638,30.62406168,420100,420000,117.3448411,39.2847324,120000,120000,384,1000.95258,0
532791,371707,114.3428638,30.62406168,420100,420000,114.4394937,38.13057855,130100,130000,267,834.7335381,0
532791,1070731,114.3428638,30.62406168,420100,420000,121.4761601,31.21049173,310000,310000,2107,683.4779446,0
532791,382038,114.3428638,30.62406168,420100,420000,118.8428583,31.9274063,320100,320000,558,451.503602,0
532791,290607,114.3428638,30.62406168,420100,420000,120.0764545,31.52620522,320200,320000,348,555.1190788,0
532791,222511,114.3428638,30.62406168,420100,420000,117.512714,34.35864208,320300,320000,205,510.6441725,0
532791,185735,114.3428638,30.62406168,420100,420000,119.6392166,31.6238147,320400,320000,245,516.2031627,0
532791,591635,114.3428638,30.62406168,420100,420000,120.6543171,31.38138183,320500,320000,903,607.3208753,0
532791,464459,114.3428638,30.62406168,420100,420000,119.4704365,29.90027109,330100,330000,917,498.9488798,0
532791,312428,114.3428638,30.62406168,420100,420000,121.4793958,29.73007302,330200,330000,386,693.0417701,0
532791,290482,114.3428638,30.62406168,420100,420000,120.464035,27.8960888,330300,330000,493,666.6348527,0
532791,179040,114.3428638,30.62406168,420100,420000,120.7789497,30.6218621,330400,330000,241,615.768636,0
532791,230193,114.3428638,30.62406168,420100,420000,119.9523514,29.11839558,330700,330000,312,566.1182443,0
532791,178578,114.3428638,30.62406168,420100,420000,121.1369469,28.75867132,331000,330000,264,688.133211,0
532791,292575,114.3428638,30.62406168,420100,420000,117.3561231,31.76223154,340100,340000,541,313.2992984,0
532791,270724,114.3428638,30.62406168,420100,420000,119.201928,26.04834574,350100,350000,321,696.2600748,0
532791,214816,114.3428638,30.62406168,420100,420000,118.1194605,24.66220726,350200,350000,395,760.0145864,0
532791,274999,114.3428638,30.62406168,420100,420000,118.2636476,25.19308362,350500,350000,269,716.1732874,0
532791,211711,114.3428638,30.62406168,420100,420000,116.0193797,28.64923649,360100,360000,520,272.8899276,0
532791,99883,114.3428638,30.62406168,420100,420000,115.451554,29.32186288,360400,360000,300,179.9171325,0
532791,274497,114.3428638,30.62406168,420100,420000,117.0911518,36.73849303,370100,370000,205,725.79295,0
532791,309117,114.3428638,30.62406168,420100,420000,120.1462497,36.44723287,370200,370000,291,841.3909139,0
532791,584714,114.3428638,30.62406168,420100,420000,113.4669101,34.62706598,410100,410000,664,452.6030326,0
532791,226344,114.3428638,30.62406168,420100,420000,112.0306579,34.29094069,410300,410000,208,461.8196956,0
532791,182371,114.3428638,30.62406168,420100,420000,112.2841506,33.04336517,411300,410000,320,331.9335595,0
532791,108773,114.3428638,30.62406168,420100,420000,114.8839053,32.08124235,411500,410000,419,169.9803121,0
532791,113197,114.3428638,30.62406168,420100,420000,114.1505548,32.92331063,411700,410000,292,256.3101312,0
532791,58406,114.3428638,30.62406168,420100,420000,115.0247001,29.92724712,420200,420000,1938,101.4420801,1
532791,73396,114.3428638,30.62406168,420100,420000,110.4414569,32.45681005,420300,420000,1194,422.1278022,1
532791,101239,114.3428638,30.62406168,420100,420000,111.1354759,30.7476962,420500,420000,1816,307.0045098,1
532791,121181,114.3428638,30.62406168,420100,420000,111.9367371,31.93242108,420600,420000,2475,271.0072625,1
532791,25579,114.3428638,30.62406168,420100,420000,114.754484,30.32890805,420700,420000,1564,51.31405438,1
532791,52744,114.3428638,30.62406168,420100,420000,112.608686,31.07063491,420800,420000,1532,172.8374375,1
532791,82227,114.3428638,30.62406168,420100,420000,113.8790881,31.1183498,420900,420000,4784,70.56959932,1
532791,96371,114.3428638,30.62406168,420100,420000,112.5694428,29.99705878,421000,420000,3199,183.9593998,1
532791,84244,114.3428638,30.62406168,420100,420000,115.3397383,30.71603335,421100,420000,4282,95.8885326,1
532791,48665,114.3428638,30.62406168,420100,420000,114.1752646,29.62408282,421200,420000,1847,112.3548127,1
532791,36234,114.3428638,30.62406168,420100,420000,113.4241977,31.82917193,421300,420000,1155,159.9570709,1
532791,59705,114.3428638,30.62406168,420100,420000,109.5494245,30.19151922,422800,420000,1002,462.1612991,1
532791,24398,114.3428638,30.62406168,420100,420000,113.3757984,30.28994683,429004,420000,1690,99.86186707,1
